FIRST NAME,LAST NAME,SEASON,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,HOMETOWN CITY,LAT,LONG,HOMETOWN STATE,STATE ABR
Tucker,West,Winter,M,Luge,Singles,2014,"6'1""",195,6/15/95,Ridgefield,40.8313,-74.0147,Conn.,CT
Ben,Berend,Winter,M,Nordic Combined,"Large Hill/10K, Team Large Hill/4X5K",,"5'9""",145,6/29/95,Steamboat Springs,40.4777,-106.8243,Colo.,CO
Bryan,Fletcher,Winter,M,Nordic Combined,"Large Hill/10K, Normal Hill/10K, Team Large Hill/4X5K",2014,"5'9""",140,6/27/86,Steamboat Springs,40.4777,-106.8243,Colo.,CO
Taylor,Fletcher,Winter,M,Nordic Combined,"Normal Hill/10K, Team Large Hill/4X5K","2010, 2014","6'0""",155,5/11/90,Steamboat Springs,40.4777,-106.8243,Colo.,CO
Jasper,Good,Winter,M,Nordic Combined,"Large Hill/10K, Normal Hill/10K",,"6'2""",163,5/10/96,Steamboat Springs,40.4777,-106.8243,Colo.,CO
Ben,Loomis,Winter,M,Nordic Combined,"Large Hill/10K, Normal Hill/10K, Team Large Hill/4X5K",,"6'1""",160,6/9/98,Eau Claire,44.8199,-91.4949,Wis.,WI
Katie,Uhlaender,Winter,F,Skeleton,Women's Individual,"2006, 2010, 2014","5'4""",147,7/17/84,Breckenridge,39.4995,-106.0433,Colo.,CO
Kendall,Wesenberg,Winter,F,Skeleton,Women's Individual,,"5'8""",152,8/23/90,Modesto,37.6374,-121.0028,Calif.,CA
Matt,Antoine,Winter,M,Skeleton,Men's Individual,2014,"6'3""",185,4/2/85,Prairie du Chien,43.0429,-91.1373,Wis.,WI
John,Daly,Winter,M,Skeleton,Men's Individual,"2010, 2014","5'9""",175,6/10/85,Smithtown,#N/A,#N/A,N.Y.,NY
Nita,Englund,Winter,F,Ski Jumping,Normal Hill,,"5'7""",115,6/10/92,Florence,34.1781,-79.7877,Wis.,WI
Sarah,Hendrickson,Winter,F,Ski Jumping,Normal Hill,2014,"5'4""",103,8/1/94,Park City,40.6505,-111.502,Utah,UT
Abby,Ringquist,Winter,F,Ski Jumping,Normal Hill,,"5'8""",132,6/21/89,Park City,40.6505,-111.502,Utah,UT
Kevin,Bickner,Winter,M,Ski Jumping,"Normal Hill, Large Hill, Team Event",,"6'0""",138,9/23/96,Wauconda,42.2748,-88.1359,Ill.,IL
Michael,Glasder,Winter,M,Ski Jumping,"Normal Hill, Large Hill, Team Event",,"6'0""",150,3/27/89,Cary,35.782,-78.8191,Ill.,IL
Casey,Larson,Winter,M,Ski Jumping,"Normal Hill, Large Hill, Team Event",,"5'10""",142,12/16/98,Barrington,42.1515,-88.1281,Ill.,IL
Will,Rhoads,Winter,M,Ski Jumping,"Normal Hill, Large Hill, Team Event",,"6'2""",153,6/8/95,Park City,40.6505,-111.502,Utah,UT
Jamie,Anderson,Winter,F,Snowboarding,"Slopestyle, Big Air",2014,"5'2""",133,9/13/90,South Lake Tahoe,38.9393,-119.9828,Calif.,CA
Kelly,Clark,Winter,F,Snowboarding,Halfpipe,"2002, 2006, 2010, 2014","5'4""",135,7/26/83,Mammoth Lakes,37.6273,-118.99,Calif.,CA
Arielle,Gold,Winter,F,Snowboarding,Halfpipe,2014,"5'4""",145,5/4/96,Steamboat Springs,40.4777,-106.8243,Colo.,CO
Faye,Gulini,Winter,F,Snowboarding,Snowboardcross,"2010, 2014","5'4""",123,3/24/92,Salt Lake City,#N/A,#N/A,Utah,UT
Lindsey,Jacobellis,Winter,F,Snowboarding,Snowboardcross,"2006, 2010, 2014","5'7""",138,8/19/85,Roxbury,38.5511,-97.4274,Conn.,CT
Jessika,Jenson,Winter,F,Snowboarding,"Slopestyle, Big Air",2014,"5'5""",127,8/7/81,Rigby,43.6735,-111.9126,Idaho,ID
Chloe,Kim,Winter,F,Snowboarding,Halfpipe,,"5'3""",115,4/23/00,Torrance,33.8346,-118.3417,Calif.,CA
Hailey,Langland,Winter,F,Snowboarding,"Slopestyle, Big Air",,"5'2""",110,8/2/00,San Clemente,33.4498,-117.6103,Calif.,CA
Rosie,Mancari,Winter,F,Snowboarding,Snowboardcross,,"5'8""",170,1/22/94,Anchorage,61.1508,-149.1091,Alaska,AK
Julia,Marino,Winter,F,Snowboarding,"Slopestyle, Big Air",,"5'5""",125,9/11/97,Westport,35.5103,-80.9783,Conn.,CT
Maddie,Mastro,Winter,F,Snowboarding,Halfpipe,,"5'4""",110,2/22/00,Wrightwood,34.3495,-117.6299,Calif.,CA
Meghan,Tierney,Winter,F,Snowboarding,Snowboardcross,,"5'9""",130,1/15/97,Eagle,43.7223,-116.3862,Colo.,CO
Nick,Baumgartner,Winter,M,Snowboarding,Snowboardcross,"2010, 2014","6'0""",210,12/17/81,Iron River,46.0966,-88.6396,Mich.,MI
Jonathan,Cheever,Winter,M,Snowboarding,Snowboardcross,,"5'10""",190,4/17/85,Saugus,#N/A,#N/A,Mass.,MA
Chris,Corning,Winter,M,Snowboarding,"Slopestyle, Big Air",,"5'8""",165,9/7/99,Silverthorne,39.656,-106.0867,Colo.,CO
Mick,Dierdorff,Winter,M,Snowboarding,Snowboardcross,,"5'9""",185,4/30/91,Steamboat Springs,40.4777,-106.8243,Colo.,CO
Ben,Ferguson,Winter,M,Snowboarding,Halfpipe,,"5'9""",165,1/21/95,Bend,44.0562,-121.3087,Ore.,OR
Red,Gerard,Winter,M,Snowboarding,"Slopestyle, Big Air",,"5'5""",116,6/29/00,Silverthorne,39.656,-106.0867,Colo.,CO
Chase,Josey,Winter,M,Snowboarding,Halfpipe,,"5'11""",155,3/31/95,Hailey,43.5141,-114.3,Idaho,ID
Hagen,Kearney,Winter,M,Snowboarding,Snowboardcross,,"6'2""",175,11/6/91,Norwood,39.1605,-84.4535,Colo.,CO
Kyle,Mack,Winter,M,Snowboarding,"Slopestyle, Big Air",,"5'11""",170,7/6/97,Bloomfield Hills,42.578,-83.2456,Mich.,MI
AJ,Muss,Winter,M,Snowboarding,Parallel Giant Slalom,,"6'1""",220,12/15/94,Rumson,40.3626,-74.0046,N.J.,NJ
Jake,Pates,Winter,M,Snowboarding,Halfpipe,,"5'7""",150,7/30/98,Eagle,43.7223,-116.3862,Colo.,CO
Ryan,Stassel,Winter,M,Snowboarding,"Slopestyle, Big Air",2014,"5'11""",170,10/23/92,Anchorage,61.1508,-149.1091,Alaska,AK
Mike,Trapp,Winter,M,Snowboarding,Parallel Giant Slalom,,"5'8""",145,7/10/88,Marstons Mills,#N/A,#N/A,Mass.,MA
Shaun,White,Winter,M,Snowboarding,Halfpipe,"2006, 2010, 2014","5'9""",154,9/3/86,Carlsbad,33.1247,-117.2837,Calif.,CA
Heather,Bergsma,Winter,F,Long Track Speedskating,"500, 1,000, 1,500, Mass Start, Team Pursuit","2010, 2014","5'11""",160,3/20/89,High Point,35.9907,-79.9938,N.C.,NC
Brittany,Bowe,Winter,F,Long Track Speedskating,"500, 1,000, 1,500, Team Pursuit",2014,"5'7""",140,2/24/88,Ocala,29.178,-82.1511,Fla.,FL
Erin,Jackson,Winter,F,Long Track Speedskating,500,,"5'4""",,9/19/92,Ocala,29.178,-82.1511,Fla.,FL
Mia,Manganello,Winter,F,Long Track Speedskating,"1,500, Mass Start, Team Pursuit",,"5'7""",140,10/27/89,Crestview,30.748,-86.5784,Fla.,FL
Carlijn,Schoutens,Winter,F,Long Track Speedskating,"3,000, 5,000, Team Pursuit",,"5'9""",153,12/12/94,West Jordan,40.6024,-112.0008,Utah,UT
Jerica,Tandiman,Winter,F,Long Track Speedskating,"1,000",,"5'3""",138,11/2/94,Kearns,40.652,-112.0093,Utah,UT
Shani,Davis,Winter,M,Long Track Speedskating,"1,000, 1,500","2002, 2006, 2010, 2014","6'2""",185,8/13/82,Chicago,41.8373,-87.6862,Ill.,IL
Jonathan,Garcia,Winter,M,Long Track Speedskating,"500, Team Pursuit",2014,"5'7""",150,12/14/86,Houston,29.7863,-95.3889,Texas,TX
Kimani,Griffin,Winter,M,Long Track Speedskating,500,,"6'1""",178,7/2/90,Winston-Salem,36.1029,-80.2611,N.C.,NC
Brian,Hansen,Winter,M,Long Track Speedskating,"1,500, Mass Start, Team Pursuit","2010, 2014","6'0""",180,9/3/90,Glenview,42.0825,-87.8216,Ill.,IL
Emery,Lehman,Winter,M,Long Track Speedskating,"5,000, Team Pursuit",2014,"6'0""",183,6/13/96,Oak Park,41.8872,-87.7899,Ill.,IL
Joey,Mantia,Winter,M,Long Track Speedskating,"1,000, 1,500, Mass Start, Team Pursuit",2014,"5'8""",170,2/7/86,Ocala,29.178,-82.1511,Fla.,FL
Mitch,Whitmore,Winter,M,Long Track Speedskating,"500, 1,000","2010, 2014","5'10""",170,12/18/89,Waukesha,43.0087,-88.2464,Wis.,WI
Maame,Biney,Winter,F,Short Track Speedskating,"500, 1,500",,"5'6""",150,1/28/00,Reston,38.9497,-77.3461,Va.,VA
Lana,Gehring,Winter,F,Short Track Speedskating,"500, 1,000, 1,500",2010,"5'9""",135,8/21/90,Glenview,42.0825,-87.8216,Ill.,IL
Jessica,Kooreman,Winter,F,Short Track Speedskating,"1,000, 1,500",2014,"5'0""",118,10/14/83,Melvindale,42.2802,-83.1782,Mich.,MI
J.R.,Celski,Winter,M,Short Track Speedskating,"1,000, 1,500, 5,000 Relay","2010, 2014","5'8""",143,7/17/90,Federal Way,47.3091,-122.3358,Wash.,WA
Thomas,Hong,Winter,M,Short Track Speedskating,"500, 5,000 Relay",,"5'8""",140,7/2/97,Laurel,31.6956,-89.1448,Md.,MD
John-Henry,Krueger,Winter,M,Short Track Speedskating,"500, 1,000, 1,500, 5,000 Relay",,"5'10""",165,3/27/95,Pittsburgh,40.4396,-79.9762,Pa.,PA
Ryan,Pivirotto,Winter,M,Short Track Speedskating,"5,000 Relay",,"5'5""",137,5/14/95,Ann Arbor,42.2755,-83.7312,Mich.,MI
Aaron,Tran,Winter,M,Short Track Speedskating,"500, 1,500, 5,000 Relay",,"5'7""",160,7/24/96,Federal Way,47.3091,-122.3358,Wash.,WA
Brady,Ellison,Summer,M,Archery,"Individual, Team","2008, 2012-S","5'11""",190,10/27/88,Globe,33.3869,-110.7515,Ariz.,AZ
Zach,Garrett,Summer,M,Archery,"Individual, Team",none,"5'10""",140,4/8/95,Wellington,26.6461,-80.2699,Mo. ,MO
Jake,Kaminski,Summer,M,Archery,"Individual, Team",2012-S,"5'10""",155,8/11/88,Gainesville,29.6804,-82.3458,Fla. ,FL
Mackenzie,Brown,Summer,F,Archery,Individual,none,"5'10""",165,3/14/95,Flint,43.0235,-83.6922,Texas,TX
Phillip,Chew,Summer,M,Badminton,Doubles ,none,"5'8""",200,5/16/94,Orange,33.8038,-117.8218,Calif.,CA
Sattawat ,Pongnairat,Summer,M,Badminton,Doubles,none,"5'11""",155,5/8/90,Orange,33.8038,-117.8218,Calif. ,CA
Howard ,Shu,Summer,M,Badminton,Singles,none,"6'1""",165,11/28/90,Los Angeles,34.1139,-118.4068,Calif. ,CA
Eva,Lee,Summer,F,Badminton,Doubles,2008,"5'6""",130,8/7/86,Diamond Bar,33.9991,-117.8161,Calif.,CA
Paula Lynn,Obanana,Summer,F,Badminton,Doubles,none,"5'3""",128,3/19/85,Minneapolis ,44.9635,-93.2678,Minn.,MN
Jamie,Subandhi,Summer,F,Badminton,Mixed Doubles,none,"5'4""",128,12/15/89,Westminster,39.8837,-105.0624,Calif.,CA
Iris,Wang,Summer,F,Badminton,Singles,none,"5'3""",115,9/2/94,Arcadia,34.1342,-118.0373,Calif.,CA
Carmelo,Anthony,Summer,M,Basketball,Forward,"2004-B, 2008-G, 2012-G","6'8""",230,5/29/84,New York,40.6943,-73.9249,N.Y.,NY
Harrison,Barnes,Summer,M,Basketball,Forward,none,"6'8""",225,5/30/92,Ames,42.0259,-93.6215,Iowa,IA
Jimmy,Butler,Summer,M,Basketball,Guard,none,"6'7""",220,9/14/89,Houston,29.7863,-95.3889,Texas,TX
DeMarcus,Cousins,Summer,M,Basketball,Center,none,"6'11""",270,8/13/90,Mobile,30.6783,-88.1162,Ala. ,AL
DeMar,DeRozan,Summer,M,Basketball,Guard,none,"6'7""",220,8/7/89,Compton,33.893,-118.2275,Calif.,CA
Kevin,Durant,Summer,M,Basketball,Guard,2012-G,"6'9""",230,9/29/88,"Washington, D.C. ",#N/A,#N/A,-,#N/A
Paul,George,Summer,M,Basketball,Guard,none,"6'9""",220,5/2/90,Palmdale,34.5944,-118.1057,Calif.,CA
Draymond,Green,Summer,M,Basketball,Forward,none,"6'7""",230,3/4/90,Saginaw,43.4199,-83.9501,Mich.,MI
Kyrie,Irving,Summer,M,Basketball,Guard,none,"6'3""",193,3/23/92,West Orange,30.0791,-93.7598,N.J.,NJ
DeAndre,Jordan,Summer,M,Basketball,Center,none,"6'11""",265,7/21/88,Houston,29.7863,-95.3889,Texas,TX
Kyle,Lowry,Summer,M,Basketball,Guard,none,"6'0""",250,3/25/86,Philadelphia,40.0077,-75.1339,Pa.,PA
Klay,Thompson,Summer,M,Basketball,Guard,none,"6'7""",215,2/8/90,Los Angeles,34.1139,-118.4068,Calif. ,CA
Seimone,Augustus,Summer,F,Basketball,Guard/Forward,2008-G; 2012-G,"6'1""",165,4/30/84,Baton Rouge,30.4418,-91.131,La. ,LA
Sue,Bird,Summer,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"5'9""",147,10/16/80,Syosset,40.8156,-73.502,N.Y.,NY
Tamika,Catchings,Summer,F,Basketball,Forward,2004-G; 2008-G; 2012-G,"6'2""",170,7/21/79,Indianapolis,39.7771,-86.1458,Ind.,IN
Tina,Charles,Summer,F,Basketball,Center,2012-G,"6'3""",195,12/5/88,Queens,40.7498,-73.7976,N.Y. ,NY
Elena,Delle Donne,Summer,F,Basketball,Guard/Forward,none,"6'5""",190,9/5/89,Wilmington,34.21,-77.8866,Del.,DE
Sylvia,Fowles,Summer,F,Basketball,Center,2008-G; 2012-G,"6'6""",200,10/6/85,Miami,25.7839,-80.2102,Fla. ,FL
Brittney,Griner,Summer,F,Basketball,Center,none,"6'8""",208,10/18/90,Houston,29.7863,-95.3889,Texas,TX
Angel,McCoughtry,Summer,F,Basketball,Guard/Forward,2012-G,"6'1""",155,9/10/86,Baltimore,39.3051,-76.6144,Md.,MD
Maya,Moore,Summer,F,Basketball,Forward,2012-G,"6'0""",175,9/10/86,Atlanta,33.1136,-94.1672,Ga. ,GA
Breanna,Stewart,Summer,F,Basketball,Forward/Center,none,"6'4""",175,8/27/94,North Syracuse,43.1339,-76.1306,N.Y. ,NY
Diana,Taurasi,Summer,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"6'0""",155,6/11/82,Chino,33.9836,-117.6654,Calif.,CA
Lindsay,Whalen,Summer,F,Basketball,Guard,2012-G,"5'9""",160,5/9/82,Hutchinson,38.0671,-97.9081,Minn.,MN
Carlos,Balderas,Summer,M,Boxing,Lightweight - 60 kg.,None,"5'9""",132,8/24/96,Santa Maria,34.9334,-120.4432,Calif.,CA
Charles,Conwell,Summer,M,Boxing,Middleweight - 75 kg.,None,"5'9""",165,11/2/97,Cleveland,41.4767,-81.6804,Ohio,OH
Nico,Hernandez,Summer,M,Boxing,Light Flyweight - 49 kg.,None,"5'5""",108,1/4/96,Wichita,37.6896,-97.3442,Kan.,KS
Gary,Russell,Summer,M,Boxing,Light Welterweight - 64 kg. ,None,"5'8""",141,6/14/96,"Washington, D.C. ",#N/A,#N/A,-,#N/A
Shakur,Stevenson,Summer,M,Boxing,Bantamweight - 56 kg.,None,"5'8""",123,6/28/97,Newark,40.7245,-74.1725,N.J.,NJ
Antonio,Vargas,Summer,M,Boxing,Flyweight - 52 kg.,none,"5'6""",114,8/15/96,Kissimmee,28.3042,-81.4164,Fla. ,FL
Mikaela,Mayer,Summer,F,Boxing,Lightweight - 60 kg.,none,"5'9""",132,7/4/90,Los Angeles,34.1139,-118.4068,Calif.,CA
Claressa,Shields,Summer,F,Boxing,Middleweight - 75 kg.,2012-G,"5'9""",165,3/17/95,Flint,43.0235,-83.6922,Mich.,MI
Casey,Eichfeld,Summer,M,Canoe (Slalom),C1/C2,2008; 2012,"5'10""",170,11/15/89,Drums,#N/A,#N/A,Pa.,PA
Devin,McEwan,Summer,M,Canoe (Slalom),C2,none,"5'10""",170,10/11/84,Salisbury,38.3756,-75.5867,Conn.,CT
Michal,Smolen,Summer,M,Canoe (Slalom),K1,none,"5'11""",155,9/13/93,Charlotte,35.208,-80.8304,N.C.,NC
Maggie,Hogan,Summer,F,Canoe (Sprint),K1,none,"5'7""",135,1/1/79,Huntington Beach,33.696,-118.0025,Calif. ,CA
Ashley,Nee,Summer,F,Canoe (Slalom),K1,none,"5'4""",120,6/15/89,Darnestown,39.096,-77.3033,Md.,MD
Connor,Fields ,Summer,M,Cycling ,BMX - Men's,2012-7th,"6'0""",195,9/14/92,Las Vegas,36.2333,-115.2654,Nev.,NV
Nic ,Long,Summer,M,Cycling ,BMX - Men's,2012-17th,"6'2""",190,10/6/89,Lakeside,30.1356,-81.7674,Calif.,CA
Corben,Sharrah,Summer,M,Cycling ,BMX - Men's,none,"6'0""",188,4/20/92,Tucson,32.1545,-110.8782,Ariz.,AZ
Brooke,Crain,Summer,F,Cycling ,BMX - Women's,2012-8th,"5'4""",123,4/29/93,Visalia,36.3276,-119.3269,Calif.,CA
Alise ,Post,Summer,F,Cycling ,BMX - Women's,2012-12th,"5'2""",125,1/17/91,St. Cloud,45.5339,-94.1718,Minn.,MN
Howard ,Grotts,Summer,M,Cycling ,Mountain - Men's,none,"5'7""",130,1/12/93,Durango,37.2659,-107.8782,Colo.,CO
Lea ,Davison,Summer,F,Cycling ,Mountain - Women's,2012-11th,"5'6""",122,5/19/83,Jericho,40.7875,-73.5416,Vt. ,VT
Chloe ,Woodruff,Summer,F,Cycling ,Mountain - Women's,none,"5'2""",113,7/21/87,Boulder ,40.0249,-105.2523,Colo. ,CO
Matt,Baranoski,Summer,M,Cycling ,Keirin,none,"6'0""",212,7/27/93,Perkasie,40.3719,-75.292,Pa.,PA
Bobby,Lea,Summer,M,Cycling ,Omnium,2008-16th; 2012-12th,"6'2""",170,10/17/83,Topton,40.5032,-75.7024,Pa.,PA
Kelly,Catlin,Summer,F,Cycling ,Team Pursuit,none,"5'6""",140,11/3/95,Arden Hills,45.0721,-93.167,Minn.,MN
Chloé ,Dygert,Summer,F,Cycling ,Team Pursuit,none,"5'9""",147,1/1/97,Brownsburg,39.833,-86.3824,Ind.,IN
Sarah ,Hammer,Summer,F,Cycling ,"Omnium, Team Pursuit",2008-5th; 2012-S (2x),"5'7""",145,8/18/83,Temecula,33.4928,-117.1315,Calif.,CA
Jennifer,Valente,Summer,F,Cycling ,Team Pursuit,none,"5'9""",165,12/24/94,San Diego,27.7609,-98.2389,Calif.,CA
Ruth,Winder,Summer,F,Cycling ,Team Pursuit,none,"5'4""",127,7/9/93,Lafayette,30.2084,-92.0323,Calif. ,CA
Brent,Bookwalter,Summer,M,Cycling ,"Road Race, Time Trial",none,"5'11""",150,2/16/84,Grand Rapids,42.962,-85.6562,Mich.,MI
Taylor,Phinney,Summer,M,Cycling ,"Road Race, Time Trial","2008-2-4th, 7th; 2012-4th","6'5""",180,6/27/90,Boulder ,40.0249,-105.2523,Colo.,CO
Mara,Abbott,Summer,F,Cycling ,Road Race,none,"5'4""",115,11/14/85,Boulder ,40.0249,-105.2523,Colo.,CO
Kristin ,Armstrong,Summer,F,Cycling ,"Road Race, Time Trial",2004; 2008-G; 2012-G,"5'8""",128,8/11/73,Boise,43.6007,-116.2312,Idaho,ID
Megan ,Guarnier,Summer,F,Cycling ,Road Race,none,"5'4""",120,5/4/85,Glens Falls,43.3109,-73.6459,N.Y.,NY
Evelyn ,Stevens,Summer,F,Cycling ,"Road Race, Time Trial",2012-24th,"5'5""",123,5/9/83,San Francisco,37.7562,-122.443,Calif. ,CA
David,Boudia,Summer,M,Diving,"10m Synchro, 10m Individual","2008-5th, 6th; 2012-G,B","5'9""",160,4/24/89,West Lafayette,40.4432,-86.9239,Ind. ,IN
Sam,Dorman,Summer,M,Diving,3m Synchro,none,"5'9""",170,8/30/91,Tempe,33.3881,-111.9318,Ariz.,AZ
Michael,Hixon,Summer,M,Diving,"3m Synchro, 3m Individual",none,"5'8""",150,7/16/94,Amherst,42.3645,-72.5069,Mass.,MA
Kristian,Ipsen,Summer,M,Diving,3m Individual,2012-B,"5'7""",160,10/20/92,Clayton,35.6591,-78.4499,Calif.,CA
Steele,Johnson,Summer,M,Diving,"10m Synchro, 10m Individual",none,"6'2""",175,6/16/96,Carmel,39.965,-86.146,Ind.,IN
Kassidy,Cook,Summer,F,Diving,3m Individual,none,"5'4""",125,5/9/95,The Woodlands,30.1738,-95.5134,Texas,TX
Amy,Cozad,Summer,F,Diving,10m Synchro,none,"5'3""",113,5/6/91,Indianapolis,39.7771,-86.1458,Ind.,IN
Abby,Johnston,Summer,F,Diving,3m Individual,2012-S,"5'5""",135,11/16/89,Upper Arlington,40.0272,-83.0704,Ohio,OH
Jessica,Parratto,Summer,F,Diving,"10m Synchro, 10m Individual",none,"5'2""",112,6/26/94,Dover,39.161,-75.5203,N.H.,NH
Katrina,Young,Summer,F,Diving,10m Individual,none,"5'4""",132,1/10/92,Seattle,47.6211,-122.3244,Wash.,WA
Steffen,Peters,Summer,M,Equestrian ,Dressage,1996-B; 2008-4th; 2012-6th,"5'8""",150,9/18/64,San Diego,27.7609,-98.2389,Calif.,CA
Allison ,Brock,Summer,F,Equestrian ,Dressage,none,"5'6""",130,12/7/79,Wellington,26.6461,-80.2699,Fla. ,FL
Laura,Graves,Summer,F,Equestrian ,Dressage,none,"5'8""",120,7/22/87,Orlando,28.4772,-81.3369,Fla. ,FL
Kasey,Perry-Glass,Summer,F,Equestrian ,Dressage,none,"5'4""",130,10/12/87,Orangevale,38.6881,-121.2209,Calif.,CA
Phillip ,Dutton ,Summer,M,Equestrian ,Eventing,"1996-G; 2000-G; 2004-6th,13th; 2008-7th; 2012-7th, 23rd","5'6""",150,9/13/63,West Grove,39.8206,-75.8284,Pa.,PA
Boyd ,Martin ,Summer,M,Equestrian ,Eventing,2012-7th,"6'2""",175,8/20/79,Cochranville,39.8905,-75.9241,Pa.,PA
Clark  ,Montgomery,Summer,M,Equestrian ,Eventing,none,"6'0""",155,5/20/81,Mineral Wells,32.8169,-98.0776,Texas,TX
Lauren ,Kieffer ,Summer,F,Equestrian ,Eventing,none,"5'10""",150,6/6/87,Middleburg,30.0502,-81.9011,Va.,VA
Kent,Farrington,Summer,M,Equestrian ,Jumping,none,"5'8""",145,12/28/80,Wellington,26.6461,-80.2699,Fla. ,FL
McLain,Ward,Summer,M,Equestrian ,Jumping,"2004-G; 2008-G, 6th; 2012-6th, 29th","5'9""",155,10/17/75,Brewster,48.1015,-119.776,N.Y.,NY
Lucy,Davis,Summer,F,Equestrian ,Jumping,none,"5'5""",122,10/22/92,Los Angeles,34.1139,-118.4068,Calif.,CA
Beezie,Madden,Summer,F,Equestrian ,Jumping,"2004-G; 2008-G, B; 2012- ","5'6""",140,11/20/63,Cazenovia,43.5237,-90.1991,N.Y.,NY
Jason,Pryor,Summer,M,Fencing,Epee,none,"5'9""",175,9/26/87,South Euclid,41.5239,-81.5245,Ohio,OH
Katharine,Holmes,Summer,F,Fencing,Epee,none,"5'11""",175,7/15/93,"Washington, D.C. ",#N/A,#N/A,-,#N/A
Courtney,Hurley,Summer,F,Fencing,Epee,2012-B,"5'8""",175,9/30/90,San Antonio,29.4658,-98.5253,Texas,TX
Kelley,Hurley,Summer,F,Fencing,Epee,2008; 2012-B,"5'9""",165,4/4/88,San Antonio,29.4658,-98.5253,Texas,TX
Kasia,Trzopek,Summer,F,Fencing,Epee,None,"5'9""",164,5/6/81,Pacifica,37.6112,-122.4781,Calif. ,CA
Race,Imboden,Summer,M,Fencing,Foil,2012,"6'1""",165,4/17/93,Brooklyn,40.6501,-73.9496,N.Y. ,NY
Alexander,Massialas,Summer,M,Fencing,Foil,2012,"6'2""",180,4/20/94,San Francisco,37.7562,-122.443,Calif.,CA
Gerek,Meinhardt,Summer,M,Fencing,Foil,2008; 2012,"6'0""",175,7/27/90,San Francisco,37.7562,-122.443,Calif.,CA
Miles,Chamley-Watson,Summer,M,Fencing,Foil,2012,"6'4""",175,12/3/89,New York,40.6943,-73.9249,N.Y.,NY
Lee,Kiefer,Summer,F,Fencing,Foil,2012,"5'4""",107,6/15/94,Lexington,38.0423,-84.4587,Ky.,KY
Nzingha,Prescod,Summer,F,Fencing,Foil,2012,"5'4""",138,8/14/92,Brooklyn,40.6501,-73.9496,N.Y.,NY
Eli,Dershwitz,Summer,M,Fencing,Saber,none,"6'1""",170,9/23/95,Sherborn,#N/A,#N/A,Mass.,MA
Daryl,Homer,Summer,M,Fencing,Saber,2012,"5'8""",165,7/16/90,Bronx,40.8501,-73.8662,N.Y.,NY
Monica,Aksamit,Summer,F,Fencing,Saber,None,"6'0""",165,2/18/90,Matawan,40.4127,-74.2365,N.J.,NJ
Ibtihaj,Muhammad,Summer,F,Fencing,Saber,None,"5'7""",150,12/4/85,Maplewood,44.9842,-93.0247,N.J.,NJ
Dagmara,Wozniak,Summer,F,Fencing,Saber,2012,"5'8""",180,7/1/88,Avenel,40.5839,-74.272,N.J.,NJ
Mariel,Zagunis,Summer,F,Fencing,Saber,"2004-G; 2008-G, B; 2012","5'8""",160,3/3/85,Portland,45.5372,-122.65,Ore.,OR
Katie,Bam,Summer,F,Field Hockey,Striker,2012,"5'1""",120,12/6/88,Blue Bell,40.1474,-75.2687,Pa.,PA
Lauren,Crandall,Summer,F,Field Hockey,Defender,2008; 2012,"5'3""",127,3/17/85,Doylestown,40.97,-81.6954,Pa.,PA
Rachel,Dawson,Summer,F,Field Hockey,Midfielder,2008; 2012,"5'10""",150,8/2/85,Berlin,44.4869,-71.2599,N.J.,NJ
Katelyn,Falgowski,Summer,F,Field Hockey,Midfielder,2008; 2012,"5'6""",138,10/23/88,Landenberg,#N/A,#N/A,Pa.,PA
Stefanie,Fee,Summer,F,Field Hockey,Defender,none,"5'6""",140,3/11/90,Virginia Beach,36.7335,-76.0435,Va.,VA
Melissa,Gonzalez,Summer,F,Field Hockey,Midfielder,2012,"5'3""",128,1/24/89,Mohegan Lake,#N/A,#N/A,N.Y.,NY
Michelle,Kasold,Summer,F,Field Hockey,Striker,2012,"5'3""",118,5/26/87,Chapel Hill,35.927,-79.0391,N.C.,NC
Jackie,Briggs,Summer,F,Field Hockey,Goalkeeper,none,"5'6""",135,5/23/88,Robesonia,40.3495,-76.1391,Pa.,PA
Kelsey,Kolojejchick,Summer,F,Field Hockey,Striker,none,"5'3""",135,10/2/91,Larksville,41.2639,-75.9326,Pa.,PA
Alyssa,Manley,Summer,F,Field Hockey,Defender,none,"5'2""",118,5/27/94,Lititz,40.154,-76.3044,Pa.,PA
Julia,Reinprecht,Summer,F,Field Hockey,Defender,2012,"5'3""",123,7/12/91,Perkasie,40.3719,-75.292,Penn.,PA
Katie,Reinprecht,Summer,F,Field Hockey,Midfielder,2012,"5'4""",125,11/1/89,Perkasie,40.3719,-75.292,Pa.,PA
Kathleen,Sharkey,Summer,F,Field Hockey,Striker,none,"5'4""",128,4/30/90,Moosic,41.3584,-75.7027,Pa.,PA
Caitlin,Van Sickle,Summer,F,Field Hockey,Defender,none,"5'5""",130,1/26/90,Wilmington,34.21,-77.8866,Del.,DE
Michelle,Vittese,Summer,F,Field Hockey,Midfielder,2012,"5'3""",126,12/6/89,Cherry Hill,38.5696,-77.2895,N.J.,NJ
